n,n_A,n_B,T,E,T+E
10000,9000.0,1000.0,0.0054553623156532475,0.0029129093287111963,0.008368271644364444
23778,21400.2,2377.8,0.00353782167203652,0.0018890319570933605,0.005426853629129881
37556,33800.4,3755.6000000000004,0.00281503587680718,0.001503098014714801,0.004318133891521981
51335,46201.5,5133.5,0.002407780074775789,0.0012856423891727334,0.003693422463948522
65113,58601.700000000004,6511.3,0.0021379116146527095,0.001141545203773726,0.0032794568184264356
78891,71001.90000000001,7889.1,0.0019422711925439534,0.0010370823326279531,0.0029793535251719065
92670,83403.0,9267.0,0.0017920660726628373,0.000956879796186614,0.002748945868849451
106448,95803.2,10644.800000000001,0.0016720715069760026,0.0008928082882721166,0.002564879795248119
120227,108204.3,12022.7,0.0015733400363742956,0.0008400902825536183,0.002413430318927914
134005,120604.5,13400.5,0.0014902636136691228,0.0007957313430933573,0.00228599495676248
147783,133004.7,14778.300000000001,0.0014190946413736268,0.0007577304274219083,0.002176825068795535
161562,145405.80000000002,16156.2,0.0013572316824255718,0.0007246984893406538,0.0020819301717662254
175340,157806.0,17534.0,0.001302816044182103,0.0006956430735688429,0.001998459117750946
189119,170207.1,18911.9,0.0012544576895343273,0.0006698219650477011,0.0019242796545820284
202897,182607.30000000002,20289.7,0.0012111161252694313,0.0006466795888748302,0.0018577957141442615
216675,195007.5,21667.5,0.0011719772914459206,0.0006257812749659162,0.0017977585664118367
230454,207408.6,23045.4,0.0011364006516118622,0.0006067850066961674,0.0017431856583080296
244232,219808.80000000002,24423.2,0.0011038811476733678,0.0005894211065724856,0.0016933022542458534
258011,232209.9,25801.100000000002,0.0010740005119280458,0.0005734662391275455,0.0016474667510555912
271789,244610.1,27178.9,0.0010464239271255186,0.000558741627547708,0.0016051655546732266
285567,257010.30000000002,28556.7,0.0010208679979405355,0.0005450959519317693,0.0015659639498723048
299346,269411.4,29934.600000000002,0.0009970957605659023,0.0005324026846460722,0.0015294984452119745
313124,281811.60000000003,31312.4,0.0009749120116357682,0.0005205575961871515,0.0014954696078229197
326903,294212.7,32690.300000000003,0.0009541444891927473,0.0005094687066948959,0.0014636131958876432
340681,306612.9,34068.1,0.0009346513609584134,0.000499060284340137,0.0014337116452985505
354459,319013.10000000003,35445.9,0.0009163061372823048,0.0004892647895422755,0.0014055709268245803
368238,331414.2,36823.8,0.0008989991845728219,0.00048002368307087536,0.0013790228676436973
382016,343814.4,38201.6,0.0008826384102210846,0.0004712877917630937,0.0013539262019841782
395795,356215.5,39579.5,0.000867138457565009,0.0004630115391378714,0.0013301499967028805
409573,368615.7,40957.3,0.0008524284574600396,0.0004551570843735819,0.0013075855418336214
423351,381015.9,42335.100000000006,0.0008384425388916295,0.0004476892554171767,0.001286131794308806
437130,393417.0,43713.0,0.0008251222397174122,0.000440576836208196,0.0012656990759256082
450908,405817.2,45090.8,0.0008124181720252646,0.00043379345590239057,0.001246211627927655
464687,418218.3,46468.700000000004,0.000800282532727642,0.0004273135898780043,0.0012275961226056462
478465,430618.5,47846.5,0.0007886757949081727,0.0004211161326031269,0.0012097919275112995
492243,443018.7,49224.3,0.0007775598457051418,0.0004151807335851588,0.0011927405792903005
506022,455419.8,50602.200000000004,0.0007669002864277375,0.0004094890255257312,0.0011763893119534686
519800,467820.0,51980.0,0.0007566681638459125,0.00040402554874883714,0.0011606937125947497
533578,480220.2,53357.8,0.0007468349642838608,0.00039877507827995704,0.001145610042563818
547357,492621.3,54735.700000000004,0.0007373747485968006,0.00039372376382419883,0.0011310985124209994
561135,505021.5,56113.5,0.0007282658079872448,0.0003888600138950478,0.0011171258218822925
574914,517422.60000000003,57491.4,0.0007194856842765746,0.0003841718368713762,0.0011036575211479508
588692,529822.8,58869.200000000004,0.0007110162596311993,0.00037964955867409827,0.0010906658183052976
602470,542223.0,60247.0,0.0007028390552946746,0.0003752833125081388,0.0010781223678028133
616249,554624.1,61624.9,0.0006949370807984186,0.0003710640262548067,0.0010660011070532252
630027,567024.3,63002.700000000004,0.0006872963199496021,0.0003669842159201005,0.0010542805358697027
643806,579425.4,64380.600000000006,0.0006799016411342402,0.00036303580192708577,0.001042937443061326
657584,591825.6,65758.40000000001,0.0006727411303073141,0.00035921242273075955,0.0010319535530380736
671362,604225.8,67136.2,0.0006658021931645212,0.0003555073535593526,0.0010213095467238738
685141,616626.9,68514.1,0.0006590731522752442,0.00035191435920892925,0.0010109875114841735
687029,618326.1,68702.90000000001,0.0006581669415017603,0.0003514304848733448,0.001009597426375105
687030,618327.0,68703.0,0.0006581664625072615,0.00035143022911259724,0.0010095966916198588
698919,629027.1,69891.90000000001,0.0006525445636945519,0.0003484283970528596,0.0010009729607474115
712698,641428.2000000001,71269.8,0.0006462057667356202,0.00034504377478102656,0.0009912495415166467
726476,653828.4,72647.6,0.0006400486172217966,0.00034175614378250904,0.0009818047610043058
740254,666228.6,74025.40000000001,0.0006340641779005355,0.00033856073198080546,0.0009726249098813409
754033,678629.7000000001,75403.3,0.000628244105988521,0.00033545308471828863,0.0009636971907068096
767811,691029.9,76781.1,0.0006225818197208101,0.00033242968763910253,0.0009550115073599126
781590,703431.0,78159.0,0.0006170695302325637,0.00032948638185228106,0.0009465559120848448
795368,715831.2000000001,79536.8,0.0006117014956049471,0.0003266201014406643,0.0009383215970456115
809146,728231.4,80914.6,0.0006064711603553714,0.00032382734608194864,0.00093029850643732
822925,740632.5,82292.5,0.0006013723709652058,0.00032110483008385794,0.0009224772010490638
836703,753032.7000000001,83670.3,0.0005964004140595841,0.0003184500367237947,0.0009148504507833788
850482,765433.8,85048.20000000001,0.0005915494244605773,0.0003158598342699847,0.000907409258730562
864260,777834.0,86426.0,0.0005868152514592776,0.0003133320064372393,0.0009001472578965169
878038,790234.2000000001,87803.8,0.000582192951817765,0.00031086391376679897,0.000893056865584564
891817,802635.3,89181.70000000001,0.0005776778638162419,0.00030845306711746614,0.0008861309309337081
905595,815035.5,90559.5,0.0005732665366126788,0.00030609762390036103,0.0008793641605130398
919374,827436.6,91937.40000000001,0.0005689544394927575,0.00030379516492510904,0.0008727496044178666
933152,839836.8,93315.20000000001,0.0005647385101422853,0.0003015440550585946,0.0008662825652008799
946930,852237.0,94693.0,0.0005606149325757436,0.00029934225674232545,0.000859957189318069
960709,864638.1,96070.90000000001,0.000556580093945385,0.0002971878408839155,0.0008537679348293004
974487,877038.3,97448.70000000001,0.0005526314215793562,0.0002950794337964474,0.0008477108553758036
988265,889438.5,98826.5,0.0005487656159828857,0.0002930152737034263,0.0008417808896863119
1002044,901839.6,100204.40000000001,0.0005449795467892131,0.0002909936891348357,0.0008359732359240488
1015822,914239.8,101582.20000000001,0.0005412710411096304,0.0002890135198693336,0.000830284560978964
1029601,926640.9,102960.1,0.000537636965886096,0.0002870730929998849,0.0008247100588859809
1043379,939041.1,104337.90000000001,0.0005340753744324402,0.00028517136908676476,0.000819246743519205
1057157,951441.3,105715.70000000001,0.0005305836395426768,0.0002833069453243697,0.0008138905848670466
1070936,963842.4,107093.6,0.0005271592609598268,0.0002814784866919521,0.0008086377476517789
1084714,976242.6,108471.40000000001,0.0005238005819985667,0.0002796851085967285,0.0008034856905952952
1098493,988643.7000000001,109849.3,0.000520505056039659,0.00027792545126266514,0.0007984305073023242
1112271,1001043.9,111227.1,0.0005172711920925371,0.0002761987185702599,0.000793469910662797
1126049,1013444.1,112604.90000000001,0.0005140968640948042,0.0002745037753012392,0.0007886006393960435
1139828,1025845.2000000001,113982.8,0.0005109800432592259,0.0002728395381777347,0.0007838195814369607
1153606,1038245.4,115360.6,0.0005079194529117913,0.00027120532551530075,0.0007791247784270921
1167385,1050646.5,116738.5,0.0005049129911859515,0.0002696000150151194,0.0007745130062010709
1181163,1063046.7,118116.3,0.0005019595049005214,0.00026802299093216085,0.0007699824958326822
1194941,1075446.9000000001,119494.1,0.0004990572487771289,0.0002664733213690812,0.0007655305701462101
1208720,1087848.0,120872.0,0.0004962045534431477,0.0002649501149586689,0.0007611546684018166
1222498,1100248.2,122249.8,0.0004934004266860266,0.0002634528419056456,0.0007568532685916722
1236277,1112649.3,123627.70000000001,0.0004906431100648457,0.00026198056328448,0.0007526236733493257
1250055,1125049.5,125005.5,0.00048793170480822414,0.0002605327991931259,0.0007484645040013501
1263833,1137449.7,126383.3,0.00048526475990313153,0.00025910877485822286,0.0007443735347613543
1277612,1149850.8,127761.20000000001,0.00048264088453206717,0.00025770774764801937,0.0007403486321800865
1291390,1162251.0,129139.0,0.0004800593025481469,0.00025632930313623743,0.0007363886056843843
1305169,1174652.1,130516.90000000001,0.00047751852496961543,0.0002549726462759867,0.0007324911712456022
1318947,1187052.3,131894.7,0.0004750178472957888,0.0002536374008967222,0.000728655248192511
1332725,1199452.5,133272.5,0.0004725560493681178,0.0002523229154906221,0.0007248789648587399
1346504,1211853.6,134650.4,0.00047013195945931646,0.0002510285644099026,0.000721160523869219
1360282,1224253.8,136028.2,0.00046774496765335504,0.00024975402198781796,0.000717498989641173
1374059,1236653.1,137405.9,0.0004653941381384829,0.0002484987885444897,0.0007138929266829726
1374060,1236654.0,137406.0,0.0004653939687884462,0.0002484986981194596,0.0007138926669079058
1374061,1236654.9000000001,137406.1,0.00046539379943859446,0.00024849860769452815,0.0007138924071331226
